latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
39.822648,-77.574681,015,033,2062,509,2025-01-24,1546,L9,M,D
39.82291,-77.575041,015,032,681,5768,2025-01-24,1546,L9,H,D
39.82291,-77.575041,015,033,2061,508,2025-01-24,1546,L9,H,D
39.822918,-77.574691,015,033,2062,508,2025-01-24,1546,L9,H,D
39.822918,-77.574691,015,032,682,5768,2025-01-24,1546,L9,H,D
39.822925,-77.574341,015,032,683,5768,2025-01-24,1546,L9,H,D
39.822925,-77.574341,015,033,2063,508,2025-01-24,1546,L9,H,D
39.823188,-77.574701,015,033,2062,507,2025-01-24,1546,L9,H,D
39.823188,-77.574701,015,032,682,5767,2025-01-24,1546,L9,H,D
39.823195,-77.574351,015,033,2063,507,2025-01-24,1546,L9,M,D
39.823195,-77.574351,015,032,683,5767,2025-01-24,1546,L9,H,D
39.841842,-77.045299,015,032,2194,5737,2025-01-24,1546,L9,H,D
39.874092,-75.525571,015,032,6529,5680,2025-01-24,1546,L9,H,D
39.874363,-75.525573,015,032,6529,5679,2025-01-24,1546,L9,H,D
39.915556,-77.58939,015,033,2030,164,2025-01-24,1546,L9,L,D
39.915556,-77.58939,015,032,650,5424,2025-01-24,1546,L9,L,D
39.948898,-76.430438,015,032,3954,5375,2025-01-24,1546,L9,H,D
39.948903,-76.430087,015,032,3955,5375,2025-01-24,1546,L9,H,D
39.949169,-76.430444,015,032,3954,5374,2025-01-24,1546,L9,H,D
39.949173,-76.430093,015,032,3955,5374,2025-01-24,1546,L9,H,D
39.963492,-76.596179,015,032,3483,5313,2025-01-24,1546,L9,H,D
39.963496,-76.595828,015,032,3484,5313,2025-01-24,1546,L9,H,D
39.963767,-76.595834,015,032,3484,5312,2025-01-24,1546,L9,H,D
39.974366,-77.202404,015,032,1758,5236,2025-01-24,1546,L9,H,D
39.974636,-77.202413,015,032,1758,5235,2025-01-24,1546,L9,H,D
40.013017,-77.144598,015,032,1926,5097,2025-01-24,1546,L9,H,D
40.01328,-77.144958,015,032,1925,5096,2025-01-24,1546,L9,H,D
40.013287,-77.144607,015,032,1926,5096,2025-01-24,1546,L9,H,D
40.013293,-77.144256,015,032,1927,5096,2025-01-24,1546,L9,L,D
